bureau;22;nom
brillant;22;adj
bank_note;22;nom
arrivã;22;nr
1;22;num
vos;21;adj_pos
vivement;21;adv
violemment;21;adv
vingt;21;adj_num
travers;21;nom
tirer;21;ver
surtout;21;adv_sup
sourcil;21;nom
rival;21;nom
quipage;21;nr
poser;21;ver
offrir;21;ver
occasion;21;nom
lecteur;21;nom
hier;21;adv_sup
glisser;21;ver
costume;21;nom
ceux;21;pro_dem
blanc;21;adj
bateau;21;nom
baisser;21;ver
autant;21;adv_sup
annã;21;nr
allã;21;nr
aide;21;nom
voisin;20;nom
vite;20;adv_sup
veur;20;nr
veille;20;nom
tante;20;nom
souriant;20;adj
prier;20;ver
pliqua;20;nr
pencher;20;ver
payer;20;ver
matin;20;nom
laquelle;20;pro_rel
fiã;20;nr
espoir;20;nom
dedans;20;adv_sup
cornhill;20;nr
compte;20;nom
coin;20;nom
chellenze;20;nr
changã;20;nr
bouger;20;ver
appuyer;20;ver
altesse;20;nom
tromper;19;ver
triste;19;adj
supã;19;nr
soin;19;nom
satan;19;nom
ritable;19;nr
relever;19;ver
pot;19;nom
policeman;19;nom
pitiã;19;nr
peur;19;nom
membre;19;nom
maniã;19;nr
lourd;19;adj
juste;19;adj_sup
immobile;19;adj
franchir;19;ver
finir;19;ver
environ;19;adv_sup
enfer;19;nom
choisir;19;ver
cause;19;nom
attention;19;ono
aspect;19;nom
voleur;18;nom
soulever;18;ver
route;18;nom
rouge;18;adj
ressembler;18;ver
pur;18;adj
promettre;18;ver
portã;18;nr
paraître;18;ver
oubliã;18;nr
oublier;18;ver
occupã;18;nr
occuper;18;ver
nul;18;adj_ind
malgrã;18;nr
lequel;18;pro_rel
gruff;18;nr
fermã;18;nr
exprimer;18;ver
etc;18;adv
duel;18;nom
deviner;18;ver
dent;18;nom
cheval;18;nom
chapeau;18;nom
calme;18;nom
briller;18;ver
aujourdâ;18;nr
apparence;18;nom
visite;17;nom
veiller;17;ver
u;17;nom_sup
troisiã;17;nr
travailler;17;ver
tel;17;adj_ind
tamiser;17;ver
soutenir;17;ver
songer;17;ver
secouer;17;ver
ruelle;17;nom
royal;17;adj
respect;17;nom
plusieurs;17;adj_ind
personnage;17;nom
opã;17;nr
nouvelle;17;adj
moore;17;nr
maudlin;17;nr
magnifique;17;adj
levã;17;nr
las;17;ono
lancã;17;nr
instinct;17;nom
importer;17;ver
guã;17;nr
grave;17;adj
farlane;17;nr
droite;17;nom
derby;17;nom
decin;17;nr
debout;17;adv_sup
craindre;17;ver
conscience;17;nom
celle;17;pro_dem
canne;17;nom
brouillard;17;nom
bleu;17;adj
aucune;17;adj_ind
apporter;17;ver
vendre;16;ver
texte;16;nom
tandis_que;16;con
suite;16;nom
sourd;16;adj
soudain;16;adj_sup
somme;16;nom
sence;16;nr
ritã;16;nr
rhum;16;nom
reprã;16;nr
quartier;16;nom
public;16;adj
perã;16;nr
paupiã;16;nr
passionnã;16;nr
parce_queâ;16;nr
objet;16;nom
nez;16;nom
motion;16;nom
mode;16;nom
longueville;16;nr
lentement;16;adv
james;16;nr
irrã;16;nr
inquiã;16;nr
impã;16;nr
impossible;16;adj
hui;16;nom
habit;16;nom
gentilhomme;16;nom
fortune;16;nom
finch;16;nr
fendre;16;ver
famille;16;nom
endroit;16;nom
empã;16;nr
edmund;16;nr
dorothy;16;nr
dormir;16;ver
cri;16;nom
covent;16;nr
contraire;16;nom
comptoir;16;nom
combien;16;adv_sup
bague;16;nom
vague;15;nom
tement;15;nr
souverain;15;nom
soupir;15;nom
simple;15;adj
sein;15;nom
quelle;15;adj_int
prononcã;15;nr
position;15;nom
parlã;15;nr
pardonner;15;ver
obã;15;nr
motif;15;nom
meilleur;15;adj
malade;15;adj
lion;15;nom
ligne;15;nom
lait;15;nom
joie;15;nom
habituã;15;nr
groupe;15;nom
groom;15;nom
ger;15;nr
galerie;15;nom
frappã;15;nr
dehors;15;ono
coutez;15;nr
course;15;nom
contenir;15;ver
celle_ci;15;pro_dem
caisse;15;nom
burkeur;15;nr
brave;15;adj
blessã;15;nr
barque;15;nom
adresser;15;ver
vive;14;ono
vide;14;adj
vaincre;14;ver
vain;14;adj
urs;14;nr
trottoir;14;nom
tonnã;14;nr
tap;14;ono
sormais;14;nr
sombre;14;adj
siã;14;nr
rieure;14;nr
revoir;14;ver
retrouver;14;ver
rapide;14;adj
raire;14;ver
prononcer;14;ver
portiã;14;nr
police;14;nom
pistolet;14;nom
pendre;14;ver
oser;14;ver
ons;14;nr
nommer;14;ver
nombre;14;nom
noblesse;14;nom
moustache;14;nom
morne;14;adj
miauler;14;ver
merci;14;ono
malheur;14;nom
lueur;14;nom
impression;14;nom
huit;14;adj_num
gracieux;14;adj
garden;14;nr
fun;14;nom
fier;14;ver
falkstone;14;nr
entretien;14;nom
ensemble;14;adv
eau;14;nom
douairiã;14;nr
cran;14;nom
cossais;14;nr
compter;14;ver
church;14;nr
charme;14;nom
chant;14;nom
cantacouzã;14;nr
brutal;14;adj
blessure;14;nom
aucun;14;adj_ind
acte;14;nom
achever;14;ver
accueillir;14;ver
volontã;13;nr
vivant;13;adj
trouvã;13;nr
troit;13;nr
tristesse;13;nom
tressaillir;13;ver
trente;13;adj_num
traverser;13;ver
trace;13;nom
tomy;13;nr
toilette;13;nom
titre;13;nom
tendresse;13;nom
taverniã;13;nr
succã;13;nr
subir;13;ver
spirituel;13;adj
souffrance;13;nom
sonner;13;ver
roi;13;nom
retenir;13;ver
rer;13;nr
rencontrer;13;ver
remonter;13;ver
refuser;13;ver
redresser;13;ver
propos;13;nom
prix;13;nom
presser;13;ver
ponse;13;nr
pasâ;13;nr
parã;13;nr
partout;13;adv_sup
outre;13;pre
moire;13;nom
lier;13;ver
ladies;13;nom
jetã;13;nr
introduire;13;ver
incliner;13;ver
hors;13;pre
gant;13;nom
froidement;13;adv
france;13;nr
foulard;13;nom
